ENLIGHTEN Version,4.1.6
Measurement ID,,,20250528-100245-792093-WP-02208,20250528-100407-709362-WP-02208,20250528-100442-099370-WP-02208
79,816.47,491.24,1347.00,2325.00,2272.00
80,816.74,495.28,1328.00,2310.00,2253.00
81,817.01,499.32,1311.00,2266.00,2205.00
82,817.28,503.36,1309.00,2243.00,2177.00
83,817.55,507.40,1317.00,2211.00,2145.00
84,817.82,511.43,1285.00,2183.00,2111.00
85,818.09,515.47,1292.00,2149.00,2076.00
86,818.36,519.50,1287.00,2149.00,2063.00
87,818.63,523.52,1254.00,2135.00,2052.00
88,818.90,527.55,1273.00,2107.00,2054.00
89,819.17,531.58,1262.00,2095.00,2040.00
90,819.44,535.60,1268.00,2099.00,2027.00
91,819.71,539.62,1266.00,2076.00,2040.00
92,819.98,543.64,1268.00,2082.00,2000.00
93,820.25,547.66,1258.00,2101.00,2031.00
94,820.52,551.67,1275.00,2074.00,2019.00
95,820.79,555.68,1266.00,2101.00,2016.00
96,821.06,559.69,1258.00,2111.00,2012.00
97,821.33,563.70,1251.00,2088.00,2010.00
98,821.60,567.71,1266.00,2088.00,2004.00
99,821.87,571.71,1258.00,2082.00,2016.00
100,822.14,575.72,1271.00,2090.00,2038.00
101,822.41,579.72,1271.00,2078.00,2018.00
102,822.68,583.72,1266.00,2092.00,2027.00
103,822.95,587.71,1271.00,2076.00,2033.00
104,823.22,591.71,1266.00,2118.00,2031.00
105,823.49,595.70,1275.00,2112.00,2025.00
106,823.76,599.69,1262.00,2112.00,2046.00
107,824.03,603.68,1287.00,2124.00,2040.00
108,824.30,607.67,1275.00,2118.00,2056.00
109,824.57,611.65,1270.00,2107.00,2063.00
110,824.85,615.63,1271.00,2109.00,2035.00
111,825.12,619.61,1279.00,2116.00,2025.00
112,825.39,623.59,1264.00,2086.00,2014.00
113,825.66,627.57,1268.00,2099.00,2002.00
114,825.93,631.54,1268.00,2084.00,2027.00
115,826.20,635.52,1258.00,2105.00,2023.00
116,826.47,639.49,1270.00,2086.00,2006.00
117,826.74,643.45,1264.00,2078.00,2021.00
118,827.01,647.42,1264.00,2078.00,2012.00
119,827.29,651.38,1277.00,2103.00,2004.00
120,827.56,655.35,1270.00,2107.00,2023.00
121,827.83,659.31,1247.00,2105.00,2019.00
122,828.10,663.26,1258.00,2116.00,2016.00
123,828.37,667.22,1266.00,2107.00,2012.00
124,828.64,671.17,1273.00,2088.00,2012.00
125,828.91,675.13,1271.00,2086.00,2019.00
126,829.18,679.08,1268.00,2118.00,2050.00
127,829.46,683.02,1283.00,2114.00,2044.00
128,829.73,686.97,1281.00,2124.00,2044.00
129,830.00,690.91,1271.00,2109.00,2061.00
130,830.27,694.85,1270.00,2109.00,2050.00
131,830.54,698.79,1266.00,2109.00,2059.00
132,830.81,702.73,1270.00,2107.00,2042.00
133,831.09,706.66,1273.00,2112.00,2037.00
134,831.36,710.60,1279.00,2128.00,2054.00
135,831.63,714.53,1281.00,2126.00,2042.00
136,831.90,718.46,1279.00,2139.00,2038.00
137,832.17,722.38,1279.00,2105.00,2046.00
138,832.45,726.31,1290.00,2114.00,2056.00
139,832.72,730.23,1273.00,2111.00,2061.00
140,832.99,734.15,1279.00,2139.00,2040.00
141,833.26,738.07,1281.00,2139.00,2076.00
142,833.53,741.99,1273.00,2139.00,2050.00
143,833.80,745.90,1285.00,2154.00,2080.00
144,834.08,749.81,1275.00,2154.00,2069.00
145,834.35,753.72,1292.00,2150.00,2078.00
146,834.62,757.63,1290.00,2156.00,2080.00
147,834.89,761.53,1292.00,2149.00,2076.00
148,835.17,765.44,1289.00,2158.00,2076.00
149,835.44,769.34,1292.00,2166.00,2097.00
150,835.71,773.24,1298.00,2183.00,2097.00
151,835.98,777.13,1304.00,2190.00,2103.00
152,836.25,781.03,1306.00,2204.00,2112.00
153,836.53,784.92,1296.00,2207.00,2131.00
154,836.80,788.81,1321.00,2207.00,2126.00
155,837.07,792.70,1328.00,2223.00,2143.00
156,837.34,796.59,1315.00,2232.00,2145.00
157,837.62,800.47,1319.00,2219.00,2143.00
158,837.89,804.35,1321.00,2217.00,2177.00
159,838.16,808.23,1313.00,2234.00,2152.00
160,838.43,812.11,1317.00,2219.00,2143.00
161,838.71,815.98,1308.00,2240.00,2150.00
162,838.98,819.86,1304.00,2245.00,2154.00
163,839.25,823.73,1302.00,2234.00,2171.00
164,839.52,827.60,1300.00,2219.00,2130.00
165,839.80,831.46,1311.00,2205.00,2158.00
166,840.07,835.33,1298.00,2215.00,2135.00
167,840.34,839.19,1313.00,2221.00,2141.00
168,840.61,843.05,1306.00,2205.00,2135.00
169,840.89,846.91,1321.00,2202.00,2128.00
170,841.16,850.76,1304.00,2196.00,2124.00
171,841.43,854.62,1309.00,2179.00,2109.00
172,841.71,858.47,1311.00,2187.00,2109.00
173,841.98,862.32,1298.00,2185.00,2126.00
174,842.25,866.17,1300.00,2198.00,2112.00
175,842.52,870.01,1289.00,2181.00,2122.00
176,842.80,873.85,1309.00,2177.00,2124.00
177,843.07,877.69,1300.00,2188.00,2105.00
178,843.34,881.53,1306.00,2177.00,2103.00
179,843.62,885.37,1308.00,2196.00,2118.00
180,843.89,889.20,1306.00,2192.00,2099.00
181,844.16,893.03,1306.00,2205.00,2090.00
182,844.43,896.86,1287.00,2177.00,2114.00
183,844.71,900.69,1319.00,2202.00,2128.00
184,844.98,904.52,1302.00,2175.00,2111.00
185,845.25,908.34,1302.00,2204.00,2105.00
186,845.53,912.16,1300.00,2196.00,2105.00
187,845.80,915.98,1311.00,2183.00,2116.00
188,846.07,919.79,1302.00,2219.00,2130.00
189,846.35,923.61,1302.00,2205.00,2120.00
190,846.62,927.42,1313.00,2223.00,2131.00
191,846.89,931.23,1306.00,2217.00,2126.00
192,847.16,935.04,1306.00,2215.00,2139.00
193,847.44,938.84,1325.00,2209.00,2143.00
194,847.71,942.64,1309.00,2219.00,2135.00
195,847.98,946.45,1308.00,2221.00,2147.00
196,848.26,950.24,1311.00,2202.00,2158.00
197,848.53,954.04,1321.00,2217.00,2141.00
198,848.80,957.83,1304.00,2219.00,2112.00
199,849.08,961.63,1315.00,2217.00,2114.00
200,849.35,965.41,1309.00,2192.00,2133.00
201,849.62,969.20,1319.00,2224.00,2139.00
202,849.90,972.99,1321.00,2192.00,2133.00
203,850.17,976.77,1330.00,2211.00,2135.00
204,850.44,980.55,1300.00,2217.00,2139.00
205,850.72,984.33,1306.00,2215.00,2149.00
206,850.99,988.10,1327.00,2238.00,2147.00
207,851.26,991.88,1323.00,2240.00,2162.00
208,851.54,995.65,1340.00,2243.00,2168.00
209,851.81,999.42,1323.00,2230.00,2156.00
210,852.08,1003.19,1336.00,2255.00,2158.00
211,852.36,1006.95,1313.00,2253.00,2162.00
212,852.63,1010.71,1327.00,2242.00,2168.00
213,852.90,1014.47,1328.00,2243.00,2150.00
214,853.18,1018.23,1317.00,2262.00,2175.00
215,853.45,1021.99,1336.00,2259.00,2164.00
216,853.73,1025.74,1319.00,2257.00,2166.00
217,854.00,1029.49,1325.00,2278.00,2181.00
218,854.27,1033.24,1323.00,2257.00,2166.00
219,854.55,1036.99,1328.00,2274.00,2190.00
220,854.82,1040.73,1332.00,2274.00,2204.00
221,855.09,1044.47,1330.00,2302.00,2209.00
222,855.37,1048.21,1338.00,2280.00,2200.00
223,855.64,1051.95,1340.00,2312.00,2238.00
224,855.91,1055.69,1340.00,2302.00,2217.00
225,856.19,1059.42,1340.00,2293.00,2217.00
226,856.46,1063.15,1357.00,2314.00,2236.00
227,856.73,1066.88,1349.00,2323.00,2234.00
228,857.01,1070.60,1345.00,2327.00,2247.00
229,857.28,1074.33,1363.00,2302.00,2223.00
230,857.55,1078.05,1353.00,2317.00,2234.00
231,857.83,1081.77,1340.00,2314.00,2242.00
232,858.10,1085.49,1351.00,2293.00,2221.00
233,858.38,1089.20,1347.00,2312.00,2209.00
234,858.65,1092.91,1355.00,2308.00,2226.00
235,858.92,1096.62,1347.00,2331.00,2236.00
236,859.20,1100.33,1345.00,2293.00,2230.00
237,859.47,1104.04,1334.00,2302.00,2245.00
238,859.74,1107.74,1347.00,2333.00,2247.00
239,860.02,1111.44,1363.00,2329.00,2251.00
240,860.29,1115.14,1357.00,2329.00,2257.00
241,860.56,1118.84,1353.00,2336.00,2264.00
242,860.84,1122.53,1363.00,2319.00,2247.00
243,861.11,1126.22,1361.00,2325.00,2253.00
244,861.39,1129.91,1368.00,2363.00,2276.00
245,861.66,1133.60,1338.00,2340.00,2253.00
246,861.93,1137.28,1351.00,2352.00,2281.00
247,862.21,1140.97,1366.00,2338.00,2240.00
248,862.48,1144.65,1363.00,2342.00,2268.00
249,862.75,1148.32,1370.00,2359.00,2257.00
250,863.03,1152.00,1361.00,2338.00,2262.00
251,863.30,1155.67,1364.00,2357.00,2259.00
252,863.58,1159.34,1366.00,2363.00,2285.00
253,863.85,1163.01,1364.00,2384.00,2280.00
254,864.12,1166.68,1372.00,2367.00,2270.00
255,864.40,1170.34,1380.00,2380.00,2287.00
256,864.67,1174.01,1383.00,2388.00,2304.00
257,864.94,1177.66,1395.00,2401.00,2308.00
258,865.22,1181.32,1385.00,2399.00,2291.00
259,865.49,1184.98,1372.00,2393.00,2312.00
260,865.76,1188.63,1374.00,2416.00,2327.00
261,866.04,1192.28,1380.00,2424.00,2316.00
262,866.31,1195.93,1380.00,2422.00,2319.00
263,866.59,1199.57,1380.00,2393.00,2304.00
264,866.86,1203.22,1376.00,2407.00,2333.00
265,867.13,1206.86,1372.00,2409.00,2327.00
266,867.41,1210.49,1387.00,2405.00,2331.00
267,867.68,1214.13,1387.00,2388.00,2323.00
268,867.95,1217.76,1387.00,2403.00,2316.00
269,868.23,1221.40,1391.00,2428.00,2335.00
270,868.50,1225.03,1374.00,2428.00,2352.00
271,868.77,1228.65,1401.00,2431.00,2344.00
272,869.05,1232.28,1395.00,2422.00,2340.00
273,869.32,1235.90,1385.00,2418.00,2357.00
274,869.60,1239.52,1404.00,2456.00,2373.00
275,869.87,1243.14,1387.00,2452.00,2380.00
276,870.14,1246.75,1399.00,2448.00,2352.00
277,870.42,1250.36,1401.00,2458.00,2395.00
278,870.69,1253.97,1410.00,2466.00,2363.00
279,870.96,1257.58,1391.00,2433.00,2350.00
280,871.24,1261.19,1410.00,2452.00,2342.00
281,871.51,1264.79,1385.00,2420.00,2350.00
282,871.78,1268.39,1399.00,2439.00,2352.00
283,872.06,1271.99,1382.00,2424.00,2361.00
284,872.33,1275.59,1401.00,2445.00,2373.00
285,872.61,1279.18,1412.00,2462.00,2350.00
286,872.88,1282.77,1423.00,2460.00,2403.00
287,873.15,1286.36,1414.00,2471.00,2424.00
288,873.43,1289.95,1435.00,2473.00,2380.00
289,873.70,1293.53,1416.00,2500.00,2399.00
290,873.97,1297.12,1425.00,2490.00,2430.00
291,874.25,1300.70,1423.00,2536.00,2422.00
292,874.52,1304.27,1425.00,2498.00,2411.00
293,874.79,1307.85,1404.00,2496.00,2403.00
294,875.07,1311.42,1427.00,2519.00,2420.00
295,875.34,1314.99,1420.00,2500.00,2401.00
296,875.61,1318.56,1427.00,2507.00,2418.00
297,875.89,1322.13,1401.00,2477.00,2380.00
298,876.16,1325.69,1404.00,2475.00,2388.00
299,876.43,1329.25,1399.00,2488.00,2397.00
300,876.71,1332.81,1418.00,2500.00,2384.00
301,876.98,1336.37,1412.00,2481.00,2416.00
302,877.26,1339.92,1412.00,2488.00,2409.00
303,877.53,1343.47,1420.00,2483.00,2407.00
304,877.80,1347.02,1423.00,2509.00,2422.00
305,878.08,1350.57,1446.00,2526.00,2430.00
306,878.35,1354.11,1431.00,2540.00,2448.00
307,878.62,1357.65,1416.00,2538.00,2441.00
308,878.90,1361.19,1431.00,2523.00,2450.00
309,879.17,1364.73,1440.00,2536.00,2433.00
310,879.44,1368.27,1423.00,2511.00,2460.00
311,879.72,1371.80,1427.00,2519.00,2435.00
312,879.99,1375.33,1406.00,2536.00,2435.00
313,880.26,1378.86,1423.00,2528.00,2433.00
314,880.54,1382.38,1435.00,2496.00,2424.00
315,880.81,1385.91,1425.00,2513.00,2414.00
316,881.08,1389.43,1431.00,2513.00,2428.00
317,881.35,1392.94,1404.00,2511.00,2424.00
318,881.63,1396.46,1410.00,2464.00,2428.00
319,881.90,1399.97,1433.00,2521.00,2430.00
