ENLIGHTEN Version,4.1.6
Measurement ID,,,20250527-112520-520529-WP-02208,20250527-112709-670696-WP-02208
286,872.88,1282.78,3646.00,4499.00
287,873.15,1286.37,3639.00,4520.00
288,873.43,1289.96,3671.00,4543.00
289,873.70,1293.54,3675.00,4578.00
290,873.97,1297.12,3690.00,4575.00
291,874.25,1300.70,3715.00,4600.00
292,874.52,1304.28,3700.00,4588.00
293,874.79,1307.86,3698.00,4596.00
294,875.07,1311.43,3684.00,4562.00
295,875.34,1315.00,3692.00,4594.00
296,875.61,1318.57,3665.00,4540.00
297,875.89,1322.13,3669.00,4525.00
298,876.16,1325.70,3635.00,4507.00
299,876.43,1329.26,3679.00,4503.00
300,876.71,1332.82,3631.00,4496.00
301,876.98,1336.37,3608.00,4465.00
302,877.26,1339.93,3616.00,4514.00
303,877.53,1343.48,3656.00,4536.00
304,877.80,1347.03,3665.00,4545.00
305,878.08,1350.57,3696.00,4549.00
306,878.35,1354.12,3675.00,4560.00
307,878.62,1357.66,3665.00,4579.00
308,878.90,1361.20,3681.00,4603.00
309,879.17,1364.74,3692.00,4592.00
310,879.44,1368.27,3677.00,4604.00
311,879.72,1371.81,3713.00,4537.00
312,879.99,1375.34,3641.00,4577.00
313,880.26,1378.86,3643.00,4548.00
314,880.54,1382.39,3654.00,4534.00
315,880.81,1385.91,3654.00,4515.00
316,881.08,1389.43,3603.00,4494.00
317,881.35,1392.95,3614.00,4451.00
318,881.63,1396.47,3588.00,4440.00
319,881.90,1399.98,3620.00,4444.00
320,882.17,1403.49,3633.00,4492.00
321,882.45,1407.00,3627.00,4484.00
322,882.72,1410.51,3626.00,4509.00
323,882.99,1414.01,3620.00,4513.00
324,883.27,1417.51,3635.00,4549.00
325,883.54,1421.01,3679.00,4566.00
326,883.81,1424.51,3658.00,4549.00
327,884.09,1428.01,3656.00,4553.00
328,884.36,1431.50,3654.00,4543.00
329,884.63,1434.99,3635.00,4526.00
330,884.91,1438.47,3641.00,4503.00
331,885.18,1441.96,3643.00,4507.00
332,885.45,1445.44,3639.00,4464.00
333,885.72,1448.92,3597.00,4480.00
334,886.00,1452.40,3569.00,4425.00
335,886.27,1455.88,3572.00,4444.00
336,886.54,1459.35,3603.00,4424.00
337,886.82,1462.82,3586.00,4413.00
338,887.09,1466.29,3610.00,4423.00
339,887.36,1469.75,3591.00,4490.00
340,887.63,1473.22,3639.00,4452.00
341,887.91,1476.68,3593.00,4509.00
342,888.18,1480.14,3635.00,4505.00
343,888.45,1483.60,3635.00,4482.00
344,888.73,1487.05,3656.00,4505.00
345,889.00,1490.50,3637.00,4513.00
346,889.27,1493.95,3660.00,4492.00
347,889.54,1497.40,3633.00,4553.00
348,889.82,1500.84,3633.00,4495.00
349,890.09,1504.28,3633.00,4469.00
350,890.36,1507.72,3591.00,4440.00
351,890.63,1511.16,3591.00,4453.00
352,890.91,1514.60,3614.00,4452.00
353,891.18,1518.03,3559.00,4412.00
354,891.45,1521.46,3567.00,4410.00
355,891.72,1524.89,3546.00,4368.00
