ENLIGHTEN Version,4.1.6
Measurement ID,,,20250529-091533-473472-WP-02208,20250529-091709-177739-WP-02208
110,824.85,615.64,1211.00,1390.00
111,825.12,619.62,1243.00,1390.00
112,825.39,623.60,1202.00,1363.00
113,825.66,627.58,1219.00,1346.00
114,825.93,631.55,1175.00,1323.00
115,826.20,635.52,1183.00,1350.00
116,826.47,639.49,1205.00,1363.00
117,826.74,643.46,1215.00,1312.00
118,827.01,647.43,1173.00,1321.00
119,827.29,651.39,1187.00,1335.00
120,827.56,655.35,1170.00,1348.00
121,827.83,659.31,1201.00,1368.00
122,828.10,663.27,1204.00,1348.00
123,828.37,667.23,1219.00,1329.00
124,828.64,671.18,1212.00,1363.00
125,828.91,675.13,1200.00,1358.00
126,829.18,679.08,1211.00,1354.00
127,829.46,683.03,1198.00,1357.00
128,829.73,686.98,1204.00,1354.00
129,830.00,690.92,1181.00,1350.00
130,830.27,694.86,1190.00,1337.00
131,830.54,698.80,1169.00,1333.00
132,830.81,702.74,1208.00,1346.00
133,831.09,706.67,1189.00,1354.00
134,831.36,710.61,1181.00,1337.00
135,831.63,714.54,1195.00,1335.00
136,831.90,718.47,1182.00,1334.00
137,832.17,722.39,1191.00,1344.00
138,832.45,726.32,1185.00,1344.00
139,832.72,730.24,1183.00,1346.00
140,832.99,734.16,1188.00,1334.00
141,833.26,738.08,1206.00,1371.00
142,833.53,741.99,1190.00,1359.00
143,833.80,745.91,1187.00,1350.00
144,834.08,749.82,1221.00,1361.00
145,834.35,753.73,1201.00,1363.00
146,834.62,757.64,1191.00,1361.00
147,834.89,761.54,1186.00,1350.00
148,835.17,765.44,1229.00,1388.00
149,835.44,769.35,1217.00,1388.00
150,835.71,773.24,1233.00,1390.00
151,835.98,777.14,1255.00,1422.00
152,836.25,781.04,1243.00,1422.00
153,836.53,784.93,1291.00,1439.00
154,836.80,788.82,1276.00,1467.00
155,837.07,792.71,1268.00,1448.00
156,837.34,796.59,1259.00,1475.00
157,837.62,800.48,1286.00,1464.00
158,837.89,804.36,1281.00,1454.00
159,838.16,808.24,1270.00,1437.00
160,838.43,812.12,1274.00,1458.00
161,838.71,815.99,1279.00,1452.00
162,838.98,819.87,1263.00,1443.00
163,839.25,823.74,1257.00,1460.00
164,839.52,827.61,1291.00,1458.00
165,839.80,831.47,1251.00,1429.00
166,840.07,835.34,1255.00,1420.00
167,840.34,839.20,1211.00,1422.00
